Module_Title,Module_Department,Module_Cluster,Aim,Icon,Color
Developmental Psychology,Computing and Mathematics,Computing and Mathematics,"This module aims to: Introduce students to the main theories, methods and concepts used to understand human development. Explain the main developmental tasks facing humans at different stages of the lifespan and outline the processes involved in psychological growth and change. Illustrate and examine the social, emotional, cognitive and behavioural factors influencing development throughout the lifespan.",ph:learning-bold,37474F
French Intermediate 2 (B1.2),Computing and Mathematics,Computing and Mathematics,To facilitate students' language learning to meet an Intermediate level commensurate with CEFR B1.2,ph:notebook-bold,263238
German Intermediate 2 (B1.2),Computing and Mathematics,Computing and Mathematics,"This module aims to enable students to speak, write, listen and read German to level B1.2 of the Common European Framework Reference (CEFR) for Languages.",ph:document-bold,78909C
Intercultural Business Context,Computing and Mathematics,Computing and Mathematics,"This module will give learners an understanding of their and others' cultural contexts, enable them to develop the skills to communicate successfully in an intercultural context, in formal or informal business studies contexts. Students will develop an understanding and appreciation of cultural diversity through Cultural studies engagement in cultural exchange (tandem) with students from a different cultural background.",ph:catalog-bold,607D8B
Introduction to Social Psychology,Computing and Mathematics,Computing and Mathematics,This module aims to: Introduce students to the main concepts and ideas in social psychology and develop their ability to apply these ideas to modern social issues.,ph:workspace-bold,546E7A
Technology Entrepreneurship,Computing and Mathematics,Computing and Mathematics,"This module is designed to develop knowledge, skills and capabilities for the formulation and initiation of technology enterprises.The module will emphasize lean principles and analytics to enable the student to understand the process of building, testing and iterating to achieve product-market fit.The identification and design of business models and revenue models appropriate to technology enterprises will also form part of the module.",ph:cognitive-bold,37474F
Introduction to Sport and Exercise Science,Computing and Mathematics,Computing and Mathematics,"The aim of this module is to develop students' knowledge and understanding of determinants of sports and exercise performance from the perspectives of the core human movement sciences: physiology, biomechanics and psychology.",ph:concept-bold,263238
Sport & Exercise Biomechanics I,Computing and Mathematics,Computing and Mathematics,"The aim of this module is to provide students with an introduction to the core elements of sport and exercise biomechanics. The module will use applied examples and demonstrations to highlight the relevance of these elements in exercise, physical activity and sport.",ph:skill-level-basic-bold,78909C
Internet of Things Standards and Protocols,Computing and Mathematics,Computing and Mathematics,"The Internet of Things(IoT) encompasses a broad range and scale of devices and applications. This module examines the protocols and standards used to interconnect the various devices and applications in the Internet of Things. Students will cover range of topics across the IoT protocol stack, including emerging networking protocols and architectures, messaging, programming abstractions, and applications.",mdi:chip,FF7043
Agile Software Practice,Computing and Mathematics,Computing and Mathematics,"This module examines the agile processes and tools used to deliver software applications for dynamic environments. Students, working in teams, will use an integrated toolchain to automate and accelerate the various stages of the agile process, from source control to delivery. This will be used to deliver a small software application and to explore the typical activities of modern agile practices.",ph:skill-level-intermediate-bold,607D8B
Data Analytics Essentials,Computing and Mathematics,Computing and Mathematics,"The student is introduced to the use of analytics to support the decision making process in the business context. The student will experience the identification, description, cleaning, transforming and storage of structured data in an appropriate environment. Data mining techniques appropriate for the business analytics' context such as up-selling, cross-selling, customer classification and pattern discovery will be investigated. The student will conduct appropriate statistical analysis, rule generation and modelling in order to discover patterns and create new insights. The student will present and evaluate that analysis using visualisation tools.",ph:skill-level-advanced-bold,546E7A
Enterprise Systems Architecture,Computing and Mathematics,Computing and Mathematics,This module aims to provide the student with an understanding of an architectural approach to development of information systems. The module introduces the constituent parts of architecture and their interrelationship. The student is introduced to the use of architectural frameworks and to the use of architecture approaches for different contexts within the organisation.,ph:report-bold,455A64
French Upper Intermediate 1 (B2.1a),Computing and Mathematics,Computing and Mathematics,To facilitate students' language learning to meet an Upper Intermediate level commensurate with CEFR B2.1,ph:data-base-bold,37474F
German Upper Intermediate 1( B2.1a),Computing and Mathematics,Computing and Mathematics,"This module aims to enable students to speak, write, listen and read German at level B2.1 of the Common European Framework Reference (CEFR) for Languages.",ph:assembly-cluster-bold,263238
Introduction to Cognition and Perception,Computing and Mathematics,Computing and Mathematics,This module aims to: Develop an understanding of the basic principles and areas in cognitive psychology Provide an understanding of the basic principles and areas in the psychology of perception Evaluate the link between perception and cognition,ph:assembly-bold,78909C
Sport & Exercise Biomechanics 2,Computing and Mathematics,Computing and Mathematics,The aim of this module is to develop students understanding of the key concepts in sport and exercise biomechanics and also to develop their practical skills in the collection and analysis of human movement data.,ph:template-bold,607D8B
Applied Biomechanics,Computing and Mathematics,Computing and Mathematics,The aim of this module is to guide students in assessing and critiquing the applications of biomechanics in research and practice. This will also build on their theoretical knowledge through the analysis of current research methodologies and findings.,ph:certificate-bold,546E7A
Artificial Intelligence,Computing and Mathematics,Computing and Mathematics,"The purpose of this module is to introduce the student to the fundamental concepts of Artificial Intelligence. The student will be introduced to symbolic A.I., knowledge representation, search techniques and an A.I. programming paradigm.",ph:portfolio-bold,455A64
Data Science in Practice,Computing and Mathematics,Computing and Mathematics,"The purpose is to advance the students skills in conducting business analytics on structured data and to introduce the student to the analysis conducted on unstructured data. Students will investigate data mining techniques such as predicting customer behaviour, performance management, simulation and optimisation of business processes. The student will conduct analysis to discover patterns and to predict future events or outcomes. The student will be introduced to the analysis of unstructured data such as text and web mining.",ph:presentation-file-bold,37474F
Distributed Systems,Computing and Mathematics,Computing and Mathematics,"This module will equip the student with the knowledge required to comprehend the architecture of a modern, distributed, service-oriented application and the skills to develop same for a constrained set of requirements. The non-functional requirements of a cloud-native application, namely, resilience, fault tolerance and responsiveness will be considered using a mixture of patterns, libraries and middleware technology. The student will gain experience in deploying to a lightweight container-based cloud platform and have the skills to configure an appropriate load balancing strategy.",ph:lecture-bold,263238
French Upper Intermediate 2 (B2.1b),Computing and Mathematics,Computing and Mathematics,To facilitate students' language learning to meet an Upper Intermediate level commensurate with CEFR B2.1,ph:group-presentation-bold,78909C
German Upper Intermediate 2 (B2.1b),Computing and Mathematics,Computing and Mathematics,"This module aims to enable students to speak, write, listen and read German to level B2.1 of the Common European Framework Reference (CEFR) for Languages.",ph:forum-bold,607D8B
Management Psychology,Computing and Mathematics,Computing and Mathematics,This module will introduce the student to the workplace from the point of view of the psychology of managing both a group and oneself in a work situation.,ph:graduation-cap-bold,78909C
Mobile App Development 2,Computing and Mathematics,Computing and Mathematics,"Evolve a multi-screen mobile application in a networked, message driven, context aware application. Incorporate in the application two-way access to remote REST (Representational State Transfer) and Messaging services. Integrate on-device context including camera, location, motion, climate and other sensors to deliver a rich user experience. Incorporate 3rd party components to deliver personalized mapping, media and general information services.",mdi:access-point,4DB6AC
Technology Commercialisation,Computing and Mathematics,Computing and Mathematics,"This module will offer the student a process and tools to access the business visibility of a technical idea, and to develop the best business approach for commercialisation. This will be a 'hands on' class in which students will exercise commercialisation concepts on patents and develop technology commercialisation plan with real world business application.",ph:book-bold,607D8B
Discrete Mathematics,Computing and Mathematics,Computing and Mathematics,This module provides a solid foundation of selected topics in discrete mathematics related to computing and information sciences. The topics are covered in an elementary manner in order to reinforce understanding of concepts and improving algebraic problem-solving skills so that the student can effectively proceed with their study of a degree programme in computing.,ph:course-bold,546E7A
Physics 1,Computing and Mathematics,Computing and Mathematics,"This module is designed to introduce the computing student to the mechanics, electricity, light and measurement principles that they are likely to encounter in their computing course. It assumes no prior knowledge of physics. There will be an emphasis on problem-solving and laboratory-based teaching throughout. Each element of the syllabus is supported by suitable experiments, which will develop the students experimental skills and understanding of measurement and associated uncertainties.",ph:study-next-bold,455A64
The Computer Industry,Computing and Mathematics,Computing and Mathematics,"The aim of this module is to introduce the student to the nature, structure, operating environment and markets of the major branches of the computer industry.",ph:learning-bold,37474F
Applied Calculus,Computing and Mathematics,Computing and Mathematics,This module is intended to provide the student with a review of univariate calculus and elementary complex variables with a strong emphasis on the investigation of the concepts using mathematical software.,ph:notebook-bold,263238
Introduction to Security and Forensics,Computing and Mathematics,Computing and Mathematics,"This module aims to make the student security aware. By the end of the module the student will be conscious of threats to their data and their person, technologies that can be used to help protect them and how to respond to issues that can occur. They will also be familiar with digital forensics and the process that occurs at each of its stages.",ph:document-bold,78909C
File System Forensics,Computing and Mathematics,Computing and Mathematics,The aims of this module are to provide students with an understanding of how computer file systems organize and store data. Students will learn how different operating systems arrange data. The student will use tools to extract and forensically analyse these kinds of data.,ph:catalog-bold,607D8B
Mathematical Methods,Computing and Mathematics,Computing and Mathematics,This module deals with the mathematical concepts and techniques needed to tackle problems in two and three dimensions.,ph:workspace-bold,546E7A
Relational Databases,Computing and Mathematics,Computing and Mathematics,"This module will introduce the student to the principles and practice of designing and implementing relational database systems. The student will gain competence in Entity Relationship modelling and normalisation techniques. The student will be introduced to the concepts of data persistence, consistency and distribution in the relational database context. They will gain experience in the design and implementation of a practical relational database system.",ph:cognitive-bold,37474F
Applied Cryptography,Computing and Mathematics,Computing and Mathematics,"This module provides students with a detailed introduction to cryptography, including both the fundamentals and leading techniques as applied to the security of systems, applications and communications.",ph:concept-bold,263238
Data Structures and Algorithms 2,Computing and Mathematics,Computing and Mathematics,"Implement, from first principles, advanced general purpose and custom data structures and algorithms that employ appropriate strategies for demonstrable efficiency.",mdi:file-tree,4DB6AC
Forensic Accounting and Fraud Audit,Computing and Mathematics,Computing and Mathematics,"In this module students are introduced to the theoretical perspectives underpinning fraudulent behaviour in a business context. The module identifies the role of the forensic accountant/fraud auditor and examines an array of fraud deterrence and detection techniques with particular emphasis on financial statement fraud. This module focuses on providing a general view of accounting and audit principles, focusing on financial investigation and internal control. Through case studies, common risks that increase the possibility of fraudulent behaviour and associated red flags are examined.",ph:skill-level-basic-bold,78909C
Secure Programming and Scripting,Computing and Mathematics,Computing and Mathematics,"This module aims to equip students with the knowledge and skills to apply best security practices when programming in a range of languages and environments. In addition, they will gain an appreciation of risks and learn how to carry out basic threat modelling and avoid common vulnerabilities.",ph:skill-level-intermediate-bold,607D8B
Software Engineering Practice,Computing and Mathematics,Computing and Mathematics,"The objective of this module is to provide students with the understanding of techniques and methods used to develop reliable quality software. Students will also research, experiment and utilize various tools in order to explore the typical activities of modern software engineering practices. These tools will also be used to deliver a small software application.",ph:skill-level-advanced-bold,546E7A
Statistics and Probability,Computing and Mathematics,Computing and Mathematics,"This module covers topics in introductory statistics including descriptive statistics, probability distributions, point and interval estimation, and statistical inference with applications in computing.",ph:report-bold,455A64
Developer Operations,Computing and Mathematics,Computing and Mathematics,"This is a practical module that requires the student to build, configure and manage the operating systems and network infrastructure required for a typical cloud application environment.",ph:data-base-bold,37474F
Legal Principles of Computer Forensics,Computing and Mathematics,Computing and Mathematics,"This module aims to enable students to gain a detailed knowledge and understanding of the Irish Legal System along with a clear and concise account of the fundamental principles of computer forensics law. As part of their studies, students will gain a detailed knowledge and understanding of the general principles of many diverse areas of law that apply to computer forensics. Students will gain a detailed knowledge of Criminal Law, especially as it relates to Computer Forensics. The various computer based criminal offences pursuant to legislation will be analysed. This module will also aim to enable students to study and demonstrate competence in the relevant rules of evidence with particular emphasis on gathering electronic evidence. The use and admissibility of electronic evidence in proceedings. The legal responsibilities placed on forensic investigators during the conduct of their investigation. This module will also ensure that students may confidently handle, analyse and apply Domestic, English, EU and USA Law to Computer Forensics and enable students to evaluate the role of the law and legal policy to the dynamic and rapidly changing world of Computer Forensics.",ph:assembly-cluster-bold,263238
Network Forensics,Computing and Mathematics,Computing and Mathematics,"This module aims to provide students with the skills to investigate computer attacks that take place over computer networks. Students gain exposure to penetration testing techniques, incident response techniques and traffic analysis methodologies. The module has a significant practical component where the student will use various analysis tools and techniques to explore the areas listed above.",ph:assembly-bold,78909C
Data Mining 1,Computing and Mathematics,Computing and Mathematics,"The purpose of this module is to introduce the student to the fundamental concepts and techniques of Data Mining. The student will become familiar with Data Mining approaches (such as prediction, classification, clustering) and their typical solution techniques (methods and algorithms) to datasets that support business intelligence applications. The practical part of the module will present a suite of Data Mining exercises that the student will solve. During each exercise, the student will apply an appropriate Data Mining method and learn to evaluate and interpret the results.",ph:template-bold,607D8B
Online Forensics,Computing and Mathematics,Computing and Mathematics,"This module aims to provide students with the skills to uncover information that is found in online environments. Such environments may include cloud environments, electronic mail messages, web pages, web servers, web browsers and messaging applications. It also introduces the area of Open Source Intelligence. The module has a significant practical component where the student will use various analysis tools and techniques to explore the areas listed above.",ph:certificate-bold,546E7A
Criminal Evidence,Computing and Mathematics,Computing and Mathematics,This module explores the rules and principles that regulate the pre-trial and trial stages of the criminal process.,ph:portfolio-bold,455A64
Data Mining 2,Computing and Mathematics,Computing and Mathematics,"It is assumed the student is familiar with the fundamental concepts and techniques of Data Mining. The purpose of this module is to apply the theory of Data Mining. The student will learn about the data mining process and experience the steps involved; including data pre-processing, modelling and optimisation and result interpretation and validation. For each step in the data mining process the student will learn and apply an appropriate methodology, tool or technology.",ph:presentation-file-bold,37474F
Device Forensics,Computing and Mathematics,Computing and Mathematics,"This module aims to provide students with the skills to uncover information that is found in mobile digital devices. Such devices may include phones, tablets, IoT devices, medical devices, automotive systems. These devices can hold vast amounts of data that can be used in a multitude of environments to recreate a persons movements in online and real world environments.",ph:lecture-bold,263238
Computing Ethics,Computing and Mathematics,Computing and Mathematics,"The rate of ICT development has outpaced society?s ability to regulate responsible usage of such technologies. Technology has a profound effect on many aspects of work, living systems, the environment and society in general. The computing professional has unique responsibilities as the creator, developer, implementer and manager of these systems. This module will provide students with a critical awareness of ethical issues in modern society in relation to computing technologies and the systems they impact. It offers an introduction to the controversies, questions and strategies for ethical computing. It also inculcates an awareness of the key ways in which computing professionals can act ethically, including the role of important standards and professional communities.",ph:group-presentation-bold,78909C
Digital Photography,Computing and Mathematics,Computing and Mathematics,The aim of the module is to advance the student?s knowledge and skill in practical digital photography. The module addresses both the technical and creative aspects of image creation.,ph:forum-bold,607D8B
Formal Specification,Computing and Mathematics,Computing and Mathematics,"Having examined the software development process in detail, the student is now introduced to a more formal way to treat systems. Using mathematics, the student learns how to precisely specify computer systems. This exposes the student to rigorous and critical thinking skills. This module will also help the student to prioritise needs in a system, e.g. correctness, usability so that appropriate methodologies are chosen. An overview of the formal life-cycle is presented.",ph:graduation-cap-bold,78909C
Functional Programming,Computing and Mathematics,Computing and Mathematics,This module will introduce the student to the functional programming paradigm. The student will learn the mathematical basis underlying functional programming and then one of the popular languages (e.g. Haskell) and see how it can be applied to a variety of domains. The student will be able to apply functional techniques in non-functional paradigms when it is helpful to do so and is able to judge when this is the case.,ph:book-bold,607D8B
Physics 2,Computing and Mathematics,Computing and Mathematics,"This module is designed to introduce the student to additional fundamental physics principles and will augment the content covered in the semester one physics module (Physics I). Problem-solving skills will be developed and used to analyse physical situations. The integrated practical programme will enhance the student's experimental, logical thinking and report-writing skills.",ph:course-bold,546E7A
2D Game Development,Computing and Mathematics,Computing and Mathematics,This module aims to provide students with an understanding of the development of 2D video games and the game industry. It seeks to develop their technical skills so that they become proficient in high-level 2D game programming using the Unity Game Engine.,ph:study-next-bold,455A64
Automotive Software Concepts,Computing and Mathematics,Computing and Mathematics,"This module introduces the student to automotive software development concepts, beginning with an overview of vehicle electronic architectures and the automotive software development lifecycle. Students will learn how microcontroller-based software is designed, developed and tested to control in-vehicle systems such as climate control, engine management and ABS brakes. Students will use automotive industry-standard development tools to construct basic vehicle control systems in the laboratory.",mdi:circuit-board,7E57C2
Project Semester 2,Computing and Mathematics,Computing and Mathematics,"This module will introduce the student to fundamental distributed version control systems and basic communication skills, including presentation skills. The student will practice these skills through building an artifact based on multiple concurrent strands/modules. This module will act as an opportunity for the student to contextualise and link cross-strand concepts.",ph:learning-bold,37474F
Embedded Systems,Computing and Mathematics,Computing and Mathematics,In this module students will learn how to develop embedded real-time software applications for modern microcontrollers intended for the control of industrial processes and mechatronic systems.,ph:microchip-bold,9575CD
Introduction to Game Design,Computing and Mathematics,Computing and Mathematics,"This module is a practical introduction to game design and game design concepts, emphasising the basic tools of game design: paper and digital prototyping, design iteration, and user testing.",ph:notebook-bold,263238
Narrative Construction,Computing and Mathematics,Computing and Mathematics,"This module will introduce students to the fundamental principles of narrative construction. It aims to heighten students? awareness of the importance of narrative in linear storytelling, as well as exploring the possibilities for narrative in interactive media. The student will be introduced to Aristotlean principles of drama, which will form the foundation of their final project (short film script). This module also aims to develop students? communications and presentation skills in a focused domain.",ph:document-bold,78909C
Professional Communications,Computing and Mathematics,Computing and Mathematics,"The goal of this module is to enable students to develop key communication and issue exploration skills that are essential to the work-place environment as well as the student?s academic career. Such skills include: interpersonal skills, oral presentation skills, ability to participate in meetings, and ability to participate effectively in groups, along with writing skills for both academic and work-related documents and reports.",ph:catalog-bold,607D8B
Project Semester 3,Computing and Mathematics,Computing and Mathematics,This module will introduce the student to project management and time management skills. The student will practice these skills through building an artifact based on multiple strands/modules across the programme. This module will act as an opportunity for the student to contextualise and link cross-strand concepts.,ph:workspace-bold,546E7A
3D Game Assets,Computing and Mathematics,Computing and Mathematics,"This module serves as an introduction to 3D modelling for game asset designers and comprises an emphasis on the modelling pipeline, from concept to model creation to rigging and skinning, and techniques used for the exporting of 3D models to be used in a game engine.",ph:cognitive-bold,37474F
Industrial Automation Systems,Computing and Mathematics,Computing and Mathematics,"Industrial Automation Systems are pervasive in the Manufacturing and Service Industries. Systems vary from small turn-key systems to large integrated systems complete with Supervisory Control and Data acquisition/analysis. In this module, students will use industry-standard industrial controllers, networking and User-Interface technologies required to develop Automated Systems. Safety considerations will also be covered.",ph:concept-bold,263238
Introduction to 3D Game Development,Computing and Mathematics,Computing and Mathematics,"This module will provide the students with the necessary skill set to develop a 3D game using the Unity Game Engine. It focuses on a high-level approach and the use of 3D game engines to create video games that implement some of the basic features found in commercial video games (e.g., collision detection, 3D navigation, 3D views, and basic artificial intelligence).",ph:skill-level-basic-bold,78909C
Network Theory,Computing and Mathematics,Computing and Mathematics,"The aim of this module is to introduce the fundamental concepts in information theory, and to study common problems that arise in network theory using graphs/network models and neural network concepts.",ph:skill-level-intermediate-bold,607D8B
Project Semester 4,Computing and Mathematics,Computing and Mathematics,This module will introduce the student to the basics of professional ethics and legal issues regarding data and software artifacts. The student will build an artifact based on multiple strands/modules across the programme and examine these issues in relation to this artifact. This module will act as an opportunity for the student to contextualise and link cross-strand concepts.,ph:skill-level-advanced-bold,546E7A
Embedded Systems Scripting,Computing and Mathematics,Computing and Mathematics,"Embedded Systems Scripting module introduces the learner to the Linux operating system, commonly used command sets, bash shell scripting and a scripting language such as Python. The module will cover Python program syntax from the basic to the advanced to enable the learner design and develop complex scripts.",logos:python,4B8BBE
Game Development Practicum,Computing and Mathematics,Computing and Mathematics,This module will introduce the student to game-related project management skills. The student will build a game or game artifact based on multiple modules across the programme. This module will act as an opportunity for the student to contextualise and link cross-module concepts.,ph:report-bold,455A64
Introduction to C++ for Games,Computing and Mathematics,Computing and Mathematics,This module will introduce the student to the fundamentals of programming for games using C++ and the Standard Template Library. Using procedural and object-oriented techniques the student will gain confidence in designing and developing small video games.,ph:data-base-bold,37474F
Model-Based Development,Computing and Mathematics,Computing and Mathematics,"This laboratory-based module provides a comprehensive study of model-based design and development for dynamic, embedded control systems. Industry-standard interactive model-based development tools are used to model, simulate, implement, and test a variety of time-varying systems. A number of case studies related to intelligent automotive control are examined.",ph:assembly-cluster-bold,263238
Project Semester 5,Computing and Mathematics,Computing and Mathematics,This module will introduce the student to the basics of professional ethics and legal issues regarding data and software artifacts. The student will build an artifact based on multiple concurrent strands/modules and examine these issues in relation to this artifact. This module will act as an opportunity for the student to contextualise and link cross-strand concepts.,ph:assembly-bold,78909C
Wireless Communications,Computing and Mathematics,Computing and Mathematics,"The aim of this module is to examine the fundamental concepts underlying current developments in mobile communication systems and wireless computer networks. The module will cover current wireless systems and standards examining the technologies facilitating such networks. It provides students with the appreciation of the application, design and implementation of such networks.",ph:template-bold,607D8B
Start-up Lab,Computing and Mathematics,Computing and Mathematics,"The Start-up Lab module is designed to equip students with the entrepreneurial skills to formulate, establish and manage an enterprise of social, cultural or economic value. The module provides a real-world opportunity for students to set up and run a commercial, social/community, or not-for-profit enterprise for the duration of the semester. The module focuses on experiential learning by enabling students put into practice the underlying theories of entrepreneurship and venture creation.",ph:certificate-bold,546E7A
Advanced Driver Assistance Systems,Computing and Mathematics,Computing and Mathematics,"Advanced Driver Assistance Systems (ADAS) assist and complement drivers in the safe and effective control of vehicles. In this module, students will use the industry-standard tools and technologies required to develop ADAS applications using vision/camera systems, sensor technology, in-vehicle data networks, and Vehicle-to-Vehicle (V2V) technology. Furthermore, students will learn how to model and simulate ADAS systems.",ph:portfolio-bold,455A64
Automotive Software Development,Computing and Mathematics,Computing and Mathematics,"This module introduces the student to the process of production-scale automotive software development, beginning with an overview of vehicle electronic architectures and the automotive software development lifecycle. A detailed technical examination of the AUTOSAR vehicle software architecture is presented and students will learn how to apply this to the development of automotive applications. Model Based Development and testing strategies are explored as a way of improving productivity and software quality. In practical laboratory work students will experience the use of advanced automotive software development and simulation tools.",ph:presentation-file-bold,37474F
Embedded Systems Architecture & Hardware,Computing and Mathematics,Computing and Mathematics,This module is concerned with the embedded architecture of high performance processor systems and modern memories. The module aims to teach the skills and techniques used in designing embedded systems hardware. The importance of timing parameters and worst-case design will be emphasised and students will be exposed to Hardware Descriptive Language (HDL) and associated development tools for hardware design.,ph:cpu-bold,F06292
Game Development in C++,Computing and Mathematics,Computing and Mathematics,"This module deepens the students knowledge of game development techniques in C++ and an appropriate game framework and third party libraries to incorporate features such as networking, artificial intelligence, multiplayer modes, and game physics.",ph:lecture-bold,263238
Introduction to Convergent Technologies,Computing and Mathematics,Computing and Mathematics,This module aims to build on the students undergraduate knowledge and introduce him / her to the state-of-the-art in convergent technologies for advanced bio-medical and electro-mechanical applications. A selection of convergent technologies for advanced bio-medical and electro-mechanical applications and industry roadmaps are presented and examined in the context of their associated regulatory frameworks.,ph:group-presentation-bold,78909C
Mobile Game Development,Computing and Mathematics,Computing and Mathematics,"The aim of the module is to provide students with an understanding of the main concepts and issues in the design and development of mobile games. Students are given the opportunity to acquire practical experience of the tools, technologies and platforms employed in the development of mobile games.",ph:forum-bold,607D8B
Advanced 3D Game Development,Computing and Mathematics,Computing and Mathematics,This module provides students with theoretical and practical concepts for the development of 3D games. This module will provide the students with advanced skills related to the development of 3D games using the Unity Game Engine (or similar software).,ph:graduation-cap-bold,78909C
Advanced Graphics for Games,Computing and Mathematics,Computing and Mathematics,Design and construct realistic scenes/effects requiring advanced graphics rendering techniques using OpenGL and the OpenGL Shading Language (GLSL).,mdi:brain,AB47BC
Artificial Intelligence for Games,Computing and Mathematics,Computing and Mathematics,This module provides students with theoretical and practical concepts for the implementation and development of artificial intelligence in video games.,ph:book-bold,607D8B
Automotive Diagnostic Protocols,Computing and Mathematics,Computing and Mathematics,This module introduces the students to the most commonly used protocols and tools for implementing calibration and diagnostic functions on vehicle and motorsport control systems.,ph:course-bold,546E7A
Embedded Firmware,Computing and Mathematics,Computing and Mathematics,"This module builds on concepts introduced in Embedded Systems Architecture & Hardware module. It covers the programming of high performance embedded processor systems using C and assembly language. Software development tools are extensively used with the main emphasis being on application development, testing, debugging and verification.",mdi:bug,FFA726
Internet of Things Applications,Computing and Mathematics,Computing and Mathematics,"Internet of Things (IoT) applications combine low-level physical world devices with higher level IT and cloud-based services. In this module, students learn how to develop software applications with the connectivity and interoperability required for distributed IoT-based applications. The characteristics and requirements of IoT distributed systems is covered in addition to development platforms and technology standards currently used in IoT applications. The overall focus of this module is the practical design and implementation of full stack IoT-enabled distributed applications.",ph:study-next-bold,455A64
The Connected Car,Computing and Mathematics,Computing and Mathematics,"In this module, students explore and use the technologies required to exchange data between Electronic Control Units within the vehicle and with external systems outside of the vehicle, such as other vehicles, diagnostic tools, recharging stations and roadside infrastructure.",ph:learning-bold,37474F
